"premium_loading","kind","allocation","value","epsilon","K","tail_approximation","premium_p1","premium_p2","premium_p3","exceedances","mc_probability","mc_se","ci_low","ci_high","mc_to_tail_approximation","n_paths","seed"
0.2,"u-grid","skewed",40,NA,13.7832223855448,0.0131627142570948,3.6,3.6,3.6,127726,0.0127726,3.55098024343138e-05,0.0127030007872287,0.0128421992127713,0.97036217230922,10000000,20260619
0.2,"u-grid","skewed",80,NA,13.7832223855448,0.00310712419188644,3.6,3.6,3.6,29715,0.0029715,1.72124088603252e-05,0.00293776367863376,0.00300523632136624,0.956350572583936,10000000,20260619
0.2,"u-grid","skewed",160,NA,13.7832223855448,0.000739673373071555,3.6,3.6,3.6,6900,0.00069,8.30375758316679e-06,0.000673724635136993,0.000706275364863007,0.932844178417181,10000000,20260619
0.2,"u-grid","skewed",320,NA,13.7832223855448,0.000177193244629747,3.6,3.6,3.6,1689,0.0001689,4.10939743502621e-06,0.000160845581027349,0.000176954418972651,0.953196609458354,10000000,20260619
0.2,"u-grid","skewed",500,NA,13.7832223855448,7.0797675671064e-05,3.6,3.6,3.6,671,6.71e-05,2.5902798611347e-06,6.2023051472176e-05,7.2176948527824e-05,0.947771227854372,10000000,20260619
0.5,"u-grid","equal",40,NA,11.1644101322913,0.0106617985482467,4.5,4.5,4.5,93945,0.0093945,3.05061360544891e-05,0.0093347079733332,0.0094542920266668,0.88113651345859,10000000,20260619
0.5,"u-grid","equal",80,NA,11.1644101322913,0.00251677059542802,4.5,4.5,4.5,22571,0.0022571,1.50066835096566e-05,0.00222768690032107,0.00228651309967893,0.896823891736601,10000000,20260619
0.5,"u-grid","equal",160,NA,11.1644101322913,0.00059913543218796,4.5,4.5,4.5,5449,0.0005449,7.37972278605369e-06,0.000530435743339335,0.000559364256660665,0.909477174484742,10000000,20260619
0.5,"u-grid","equal",320,NA,11.1644101322913,0.000143526528150095,4.5,4.5,4.5,1308,0.0001308,3.6163917287816e-06,0.000123711872211588,0.000137888127788412,0.911329784715572,10000000,20260619
0.5,"u-grid","equal",500,NA,11.1644101322913,5.73461172935619e-05,4.5,4.5,4.5,518,5.18e-05,2.27590238718623e-06,4.7339231321115e-05,5.6260768678885e-05,0.903286960734053,10000000,20260619
0.5,"u-grid","skewed",40,NA,13.7832223855448,0.0131627142570948,4.5,4.5,4.5,115848,0.0115848,3.38387239844531e-05,0.0115184761009905,0.0116511238990095,0.880122425643005,10000000,20260619
0.5,"u-grid","skewed",80,NA,13.7832223855448,0.00310712419188644,4.5,4.5,4.5,28244,0.0028244,1.67822011805365e-05,0.00279150688568615,0.00285729311431385,0.909007759450132,10000000,20260619
0.5,"u-grid","skewed",160,NA,13.7832223855448,0.000739673373071555,4.5,4.5,4.5,6727,0.0006727,8.19906991499646e-06,0.000656629822966607,0.000688770177033393,0.909455476552519,10000000,20260619
0.5,"u-grid","skewed",320,NA,13.7832223855448,0.000177193244629747,4.5,4.5,4.5,1669,0.0001669,4.08499870734374e-06,0.000158893402533606,0.000174906597466394,0.941909497445822,10000000,20260619
0.5,"u-grid","skewed",500,NA,13.7832223855448,7.0797675671064e-05,4.5,4.5,4.5,662,6.62e-05,2.57285090046042e-06,6.11572122350976e-05,7.12427877649024e-05,0.935058946109679,10000000,20260619
